,0,1
0,0.0,1.413969083276111
1,1.0,0.9336713324811301
2,2.0,0.42400170752345556
3,3.0,-0.1212118947245425
4,4.0,-0.7048923973611343
5,5.0,-1.3245751127345322
6,6.0,-1.972877633218776
7,7.0,-2.640679221434636
8,8.0,-3.320241751263359
9,9.0,-4.006338466193895
10,10.0,-4.695891450085922
11,11.0,-5.387223688424719
12,12.0,-6.079458858137374
13,13.0,-6.772148888269088
14,14.0,-7.465067206131002
15,15.0,-8.158099883187415
16,16.0,-8.851189793854207
17,17.0,-9.544308333504661
18,18.0,-10.237441190494375
19,19.0,-10.930581214375609
20,20.0,-11.623724975178026
21,21.0,-12.316871008291695
22,,-13.010015214846893
23,,-13.70317033509396
24,,-14.396288797894902
25,,-15.089421104854301
26,,-15.782523834310043
27,,-16.47440363333931
28,,-17.18197058620879
29,,-17.844999507708053
30,,-18.391919694482525
31,,-19.38319697997516
32,,-18.668094376696168
33,,-19.97152565860728
34,,-18.190275988025384
35,,-18.735312020658842
36,,-20.52634335453922
37,,-20.52634335453922
