,0,1
0,0.0,1.8718021769015913
1,1.0,1.413969083276111
2,2.0,0.9336713324811301
3,3.0,0.42400170752345556
4,4.0,-0.1212118947245425
5,5.0,-0.7048923973611343
6,6.0,-1.3245751127345322
7,7.0,-1.972877633218776
8,8.0,-2.640679221434636
9,9.0,-3.320241751263359
10,10.0,-4.006338466193895
11,11.0,-4.695891450085922
12,12.0,-5.387223688424719
13,13.0,-6.079458858137374
14,14.0,-6.772148888269088
15,15.0,-7.465067206131002
16,16.0,-8.158099883187415
17,17.0,-8.851189793854207
18,18.0,-9.544308333504661
19,19.0,-10.237441190494375
20,20.0,-10.930581214375609
21,21.0,-11.623724975178026
